Time,ProxyName,TxnID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,url,uri,q
Dec 02 2015 07:03:13,proxy-mpgw,87795,0,1366,0,0,0,0,0,1366,1367,1366,1367,1368,0,1367,0,1366,http://192.168.152.24:8082,/request2,?t=1364
Dec 02 2015 07:03:13,proxy-mpgw,87811,0,1401,0,0,0,0,0,1401,1402,1401,1402,1402,0,1401,0,1401,http://192.168.152.24:8082,/request5,?t=1397
Dec 02 2015 07:03:14,proxy-mpgw,92866,0,1244,0,8,8,5,0,1244,1256,1244,1256,1256,1251,1244,8,1244,http://192.168.152.24:8082,/request3,?t=1233
Dec 02 2015 07:03:14,proxy-mpgw,87859,0,1631,0,11,11,7,0,1631,1638,1631,1638,1639,1635,1631,11,1631,http://192.168.152.24:8082,/request3,?t=1619
Dec 02 2015 07:03:14,proxy-mpgw,92914,0,872,0,0,0,0,0,872,880,872,880,880,876,872,0,872,http://192.168.152.24:8082,/request5,?t=870
Dec 02 2015 07:03:15,proxy-mpgw,87891,0,1482,0,0,0,0,0,1482,1483,1482,1483,1483,0,1482,0,1482,http://192.168.152.24:8082,/request1,?t=1478
Dec 02 2015 07:03:15,proxy-mpgw,92882,0,1855,0,16,16,10,0,1855,1869,1855,1869,1869,1863,1855,16,1855,http://192.168.152.24:8082,/request2,?t=1837
Dec 02 2015 07:03:15,proxy-mpgw,92962,0,1224,0,13,13,8,0,1224,1236,1224,1236,1236,1231,1224,13,1224,http://192.168.152.24:8082,/request4,?t=1209
Dec 02 2015 07:03:16,proxy-mpgw,88051,0,770,0,13,13,9,0,770,783,770,783,783,778,770,13,770,http://192.168.152.24:8082,/request5,?t=753
Dec 02 2015 07:03:16,proxy-mpgw,93010,0,1801,0,0,0,0,0,1801,1802,1801,1802,1802,0,1802,0,1801,http://192.168.152.24:8082,/request2,?t=1798
Dec 02 2015 07:03:16,proxy-mpgw,92946,0,2011,0,14,14,9,0,2011,2024,2011,2024,2024,2018,2011,14,2011,http://192.168.152.24:8082,/request2,?t=1995
Dec 02 2015 07:03:16,proxy-mpgw,88019,0,1561,0,0,0,0,0,1561,1573,1561,1573,1573,1568,1561,0,1561,http://192.168.152.24:8082,/request5,?t=1558
Dec 02 2015 07:03:17,proxy-mpgw,93074,0,737,0,8,8,4,0,737,749,737,749,749,744,737,8,737,http://192.168.152.24:8082,/request2,?t=726
Dec 02 2015 07:03:17,proxy-mpgw,93058,0,950,0,0,0,0,0,950,957,950,957,957,954,950,0,950,http://192.168.152.24:8082,/request4,?t=948
Dec 02 2015 07:03:17,proxy-mpgw,93106,0,259,0,1,1,0,0,259,260,260,260,260,0,260,1,259,http://192.168.152.24:8082,/request5,?t=257
Dec 02 2015 07:03:17,proxy-mpgw,88099,0,1940,0,15,15,9,0,1940,1949,1940,1949,1949,1945,1940,15,1940,http://192.168.152.24:8082,/request5,?t=1923
Dec 02 2015 07:03:18,proxy-mpgw,88147,0,429,0,10,10,6,0,429,438,429,438,439,434,429,10,429,http://192.168.152.24:8082,/request1,?t=418
Dec 02 2015 07:03:18,proxy-mpgw,88115,0,1926,0,13,13,8,0,1926,1938,1926,1938,1938,1933,1926,13,1926,http://192.168.152.24:8082,/request4,?t=1911
Dec 02 2015 07:03:18,proxy-mpgw,88131,0,1651,0,0,0,0,0,1651,1652,1651,1652,1652,0,1651,0,1651,http://192.168.152.24:8082,/request4,?t=1647
Dec 02 2015 07:03:18,proxy-mpgw,77584,0,313,0,9,9,4,0,313,321,313,321,322,318,313,9,313,http://192.168.152.24:8082,/request2,?t=303
Dec 02 2015 07:03:18,proxy-mpgw,77616,0,222,0,10,10,7,0,222,233,222,233,233,228,222,10,222,http://192.168.152.24:8082,/request1,?t=210
Dec 02 2015 07:03:19,proxy-mpgw,88195,0,1739,0,12,12,8,0,1739,1753,1739,1753,1754,1748,1739,12,1739,http://192.168.152.24:8082,/request1,?t=1724
Dec 02 2015 07:03:19,proxy-mpgw,77568,0,1689,0,11,11,7,0,1689,1702,1689,1702,1702,1697,1689,11,1689,http://192.168.152.24:8082,/request3,?t=1675
Dec 02 2015 07:03:20,proxy-mpgw,77680,0,134,0,10,10,6,0,134,144,134,144,144,140,134,10,134,http://192.168.152.24:8082,/request5,?t=121
Dec 02 2015 07:03:20,proxy-mpgw,77632,0,1482,0,0,0,0,0,1482,1496,1482,1496,1496,1490,1482,0,1482,http://192.168.152.24:8082,/request2,?t=1479
Dec 02 2015 07:03:20,proxy-mpgw,77600,0,1912,0,0,0,0,0,1912,1912,1912,1912,1913,0,1912,0,1912,http://192.168.152.24:8082,/request2,?t=1908
Dec 02 2015 07:03:20,proxy-mpgw,77712,0,253,0,10,10,6,0,253,268,253,268,268,264,253,10,253,http://192.168.152.24:8082,/request1,?t=240
Dec 02 2015 07:03:20,proxy-mpgw,77648,0,1453,0,9,9,6,0,1453,1463,1453,1463,1463,1459,1453,9,1453,http://192.168.152.24:8082,/request3,?t=1442
Dec 02 2015 07:03:21,proxy-mpgw,77744,0,799,0,12,12,8,0,799,812,799,812,812,807,799,12,799,http://192.168.152.24:8082,/request2,?t=785
Dec 02 2015 07:03:21,proxy-mpgw,77696,0,1622,0,7,7,4,0,1622,1629,1622,1629,1630,1626,1622,7,1622,http://192.168.152.24:8082,/request5,?t=1613
Dec 02 2015 07:03:21,proxy-mpgw,77728,0,1451,0,0,0,0,0,1451,1464,1451,1464,1465,1460,1451,0,1451,http://192.168.152.24:8082,/request1,?t=1447
Dec 02 2015 07:03:22,proxy-mpgw,77792,0,682,1,15,15,10,0,682,697,683,697,697,692,683,15,682,http://192.168.152.24:8082,/request3,?t=664
Dec 02 2015 07:03:22,proxy-mpgw,77760,0,1407,0,9,9,5,0,1408,1414,1408,1414,1414,1411,1408,9,1407,http://192.168.152.24:8082,/request4,?t=1397
Dec 02 2015 07:03:23,proxy-mpgw,77776,0,1482,0,10,10,5,0,1482,1496,1482,1496,1496,1491,1482,10,1482,http://192.168.152.24:8082,/request5,?t=1469
Dec 02 2015 07:03:23,proxy-mpgw,77984,0,223,0,11,11,7,0,223,233,223,233,233,229,223,11,223,http://192.168.152.24:8082,/request2,?t=209
Dec 02 2015 07:03:23,proxy-mpgw,77904,0,580,0,15,15,10,0,580,595,580,595,595,589,580,15,580,http://192.168.152.24:8082,/request3,?t=563
Dec 01 2015 21:34:26,proxy-mpgw,84483,0,450,0,18,18,13,0,450,462,450,462,462,457,450,18,450,http://192.168.152.24:8082,/request5,?t=429
Dec 01 2015 21:34:28,proxy-mpgw,89186,0,246,0,14,14,9,0,246,259,246,259,259,254,246,14,246,http://192.168.152.24:8082,/request1,?t=229
Dec 01 2015 21:34:28,proxy-mpgw,89170,0,1887,0,13,13,7,0,1887,1900,1887,1900,1900,1896,1887,13,1887,http://192.168.152.24:8082,/request4,?t=1871
Dec 01 2015 21:34:28,proxy-mpgw,84515,0,1988,0,14,14,8,0,1988,2000,1988,2000,2001,1996,1988,14,1988,http://192.168.152.24:8082,/request1,?t=1971
Dec 01 2015 21:34:29,proxy-mpgw,89202,0,703,0,15,15,9,0,703,713,703,713,714,710,703,15,703,http://192.168.152.24:8082,/request4,?t=687
Dec 01 2015 21:34:29,proxy-mpgw,89282,0,13,0,0,0,0,0,13,13,13,13,14,0,13,0,13,http://192.168.152.24:8082,/request1,?t=10
Dec 01 2015 21:34:29,proxy-mpgw,89266,0,181,0,10,10,6,0,182,194,182,194,194,189,182,10,181,http://192.168.152.24:8082,/request1,?t=169
Dec 01 2015 21:34:29,proxy-mpgw,89218,0,873,0,14,14,8,0,873,886,873,886,886,881,873,14,873,http://192.168.152.24:8082,/request5,?t=856
Dec 01 2015 21:34:29,proxy-mpgw,89298,0,266,0,11,11,5,0,266,281,266,281,281,275,266,11,266,http://192.168.152.24:8082,/request5,?t=253
Dec 01 2015 21:34:29,proxy-mpgw,89330,0,64,0,14,14,8,0,64,77,64,77,77,71,64,14,64,http://192.168.152.24:8082,/request3,?t=47
